launch_speed,launch_angle,events,bb_type
100.4,3,single,ground_ball
84.5,-34,field_out,ground_ball
86.4,12,single,line_drive
75.3,-26,field_out,ground_ball
94.5,17,single,line_drive
101.4,41,field_out,fly_ball
85.4,69,field_out,popup
83.1,-5,single,ground_ball
86.7,0,field_out,ground_ball
65.4,-51,single,ground_ball
88.7,40,field_out,fly_ball
65,-14,field_out,ground_ball
83.3,-4,field_out,ground_ball
91.6,-23,field_out,ground_ball
82.5,41,field_out,fly_ball
74.6,-37,field_out,ground_ball
106.6,-11,field_out,ground_ball
81,15,single,line_drive
90,23,field_out,line_drive
98.3,42,home_run,fly_ball
98.6,-3,single,ground_ball
78.5,17,single,line_drive
91.2,-5,field_out,ground_ball
104.9,18,single,line_drive
84.6,15,single,line_drive
98.2,8,double,line_drive
100.7,21,home_run,line_drive
99.9,1,single,ground_ball
101.1,39,field_out,fly_ball
58.6,-59,field_out,ground_ball
84.4,47,field_out,fly_ball
101.1,12,double,line_drive
89.4,28,field_out,line_drive
83.8,1,field_out,ground_ball
89,21,field_out,line_drive
87.6,20,single,line_drive
93.9,-2,single,ground_ball
91.7,44,field_out,fly_ball
102.3,-2,field_out,ground_ball
90.5,55,field_out,fly_ball
98.7,28,home_run,line_drive
101.6,19,double,line_drive
97.8,28,double,line_drive
109.4,33,home_run,fly_ball
66.9,36,field_out,fly_ball
78.8,6,single,ground_ball
94,-31,field_out,ground_ball
96.5,24,field_out,line_drive
95.2,32,field_out,fly_ball
83.7,-16,single,ground_ball
109.7,-4,grounded_into_double_play,ground_ball
81,-7,grounded_into_double_play,ground_ball
84.8,61,field_out,popup
91.2,-24,single,ground_ball
100.8,15,double,line_drive
96.6,26,double,line_drive
91.5,37,field_out,fly_ball
89.1,28,field_out,line_drive
88.6,48,field_out,fly_ball
89.7,59,field_out,popup
98,10,single,line_drive
92.9,6,double,ground_ball
96.2,-9,field_out,ground_ball
77.3,36,field_out,fly_ball
93.3,-27,grounded_into_double_play,ground_ball
98.7,25,field_out,line_drive
69.8,-40,field_out,ground_ball
71.9,-6,field_out,ground_ball
61.8,-45,field_out,ground_ball
105.4,28,home_run,line_drive
82.4,-27,field_out,ground_ball
96.6,50,field_out,fly_ball
85.6,-36,grounded_into_double_play,ground_ball
102.5,33,home_run,fly_ball
96.7,30,home_run,line_drive
86.9,57,field_out,fly_ball
102,-6,field_out,ground_ball
100.6,-3,field_out,ground_ball
65.1,-39,field_out,ground_ball
71.8,31,field_out,fly_ball
71.9,50,single,popup
103.6,-11,field_out,ground_ball
82.5,-22,field_out,ground_ball
38.2,41,field_out,popup
62.4,-38,single,ground_ball
72,-19,field_out,ground_ball
69.3,4,field_out,ground_ball
82.8,17,single,line_drive
72,45,single,fly_ball
96.3,-4,field_out,ground_ball
77,60,field_out,popup
94.6,24,field_out,line_drive
97.5,-12,field_out,ground_ball
76.9,33,field_out,fly_ball
79.6,-26,field_out,ground_ball
84.2,17,double,line_drive
62.9,-16,field_out,ground_ball
98.9,17,field_out,line_drive
79.5,13,single,line_drive
100.5,26,home_run,line_drive
73.3,34,field_out,fly_ball
76.7,24,single,line_drive
66.1,25,single,line_drive
72.1,-10,force_out,ground_ball
93.5,-1,field_out,ground_ball
76.6,15,field_out,line_drive
90.9,-17,field_out,ground_ball
81.8,12,single,line_drive
80.3,-8,field_out,ground_ball
91,31,field_out,fly_ball
106.9,-4,field_out,ground_ball
93.8,31,field_out,fly_ball
74.5,-48,field_out,ground_ball
93.8,20,single,line_drive
89.2,15,single,line_drive
79.3,42,field_out,fly_ball
71.8,20,single,line_drive
99.2,16,field_out,line_drive
97.8,26,home_run,line_drive
74.1,-9,field_out,ground_ball
81.3,2,grounded_into_double_play,ground_ball
76,44,field_out,fly_ball
68.9,74,field_out,popup
87.8,40,field_out,fly_ball
99.3,37,field_out,fly_ball
88.1,66,field_out,popup
106.8,7,single,line_drive
104.8,8,single,line_drive
92.1,27,double,line_drive
103.9,3,single,ground_ball
99.8,44,home_run,fly_ball
95,23,field_out,line_drive
101.3,26,home_run,line_drive
